"number";"polid";"specid";"splitfactor";"divisor";"massfrac"
92000;"PM2_5";"POC";0.388;1.0;0.388
92000;"PM2_5";"PEC";0.109;1.0;0.109
92000;"PM2_5";"PNH4";0.018;1.0;0.018
92000;"PM2_5";"PNO3";0.0035;1.0;0.0035
92000;"PM2_5";"PSO4";0.0165;1.0;0.0165
92000;"PM2_5";"PNCOM";0.272;1.0;0.272
92000;"PM2_5";"PNA";0.00655;1.0;0.00655
92000;"PM2_5";"PMG";8.06E-4;1.0;8.06E-4
92000;"PM2_5";"PAL";3.0E-4;1.0;3.0E-4
92000;"PM2_5";"PSI";1.5E-4;1.0;1.5E-4
92000;"PM2_5";"PCL";0.0905;1.0;0.0905
92000;"PM2_5";"PK";0.0704;1.0;0.0704
92000;"PM2_5";"PCA";3.3E-4;1.0;3.3E-4
92000;"PM2_5";"PTI";1.0E-5;1.0;1.0E-5
92000;"PM2_5";"PFE";1.0E-4;1.0;1.0E-4
92000;"PM2_5";"PMOTHR";0.0238539999999999;1.0;0.0238539999999999
92000;"PM2_5";"PMFINE";0.483;1.0;0.483
92001;"PM2_5";"POC";0.0308;1.0;0.0308
92001;"PM2_5";"PEC";2.0E-4;1.0;2.0E-4
92001;"PM2_5";"PNH4";5.5E-4;1.0;5.5E-4
92001;"PM2_5";"PNO3";5.66E-4;1.0;5.66E-4
92001;"PM2_5";"PSO4";0.0011;1.0;0.0011
92001;"PM2_5";"PNCOM";0.0123;1.0;0.0123
92001;"PM2_5";"PH2O";3.96E-4;1.0;3.96E-4
92001;"PM2_5";"PNA";0.0014;1.0;0.0014
92001;"PM2_5";"PMG";7.66E-4;1.0;7.66E-4
92001;"PM2_5";"PAL";0.0894;1.0;0.0894
92001;"PM2_5";"PSI";0.244;1.0;0.244
92001;"PM2_5";"PCL";0.00135;1.0;0.00135
92001;"PM2_5";"PK";0.0205;1.0;0.0205
92001;"PM2_5";"PCA";0.0245;1.0;0.0245
92001;"PM2_5";"PTI";0.0052;1.0;0.0052
92001;"PM2_5";"PMN";0.0013;1.0;0.0013
92001;"PM2_5";"PFE";0.0577;1.0;0.0577
92001;"PM2_5";"PMOTHR";0.507972;1.0;0.507972
92001;"PM2_5";"PMFINE";0.967334;1.0;0.967334
92002;"PM2_5";"POC";0.039;1.0;0.039
92002;"PM2_5";"PEC";0.023;1.0;0.023
92002;"PM2_5";"PNO3";0.0041;1.0;0.0041
92002;"PM2_5";"PSO4";0.044;1.0;0.044
92002;"PM2_5";"PNCOM";0.0156;1.0;0.0156
92002;"PM2_5";"PH2O";0.0106;1.0;0.0106
92002;"PM2_5";"PNA";0.041;1.0;0.041
92002;"PM2_5";"PMG";0.028;1.0;0.028
92002;"PM2_5";"PAL";0.27;1.0;0.27
92002;"PM2_5";"PSI";0.0034;1.0;0.0034
92002;"PM2_5";"PCL";0.0133;1.0;0.0133
92002;"PM2_5";"PK";0.0022;1.0;0.0022
92002;"PM2_5";"PCA";0.0033;1.0;0.0033
92002;"PM2_5";"PTI";4.0E-4;1.0;4.0E-4
92002;"PM2_5";"PMN";1.1E-4;1.0;1.1E-4
92002;"PM2_5";"PFE";0.0045;1.0;0.0045
92002;"PM2_5";"PMOTHR";0.49749;1.0;0.49749
92002;"PM2_5";"PMFINE";0.8899;1.0;0.8899
92003;"PM2_5";"PNH4";0.213;1.0;0.213
92003;"PM2_5";"PNO3";0.735;1.0;0.735
92003;"PM2_5";"PH2O";0.0512;1.0;0.0512
92003;"PM2_5";"PMOTHR";8.00000000000023E-4;1.0;8.00000000000023E-4
92003;"PM2_5";"PMFINE";0.265;1.0;0.265
92004;"PM2_5";"PNH4";0.22;1.0;0.22
92004;"PM2_5";"PSO4";0.586;1.0;0.586
92004;"PM2_5";"PH2O";0.194;1.0;0.194
92004;"PM2_5";"PMFINE";0.414;1.0;0.414
92005;"PM2_5";"POC";0.0432;1.0;0.0432
92005;"PM2_5";"PEC";0.0572;1.0;0.0572
92005;"PM2_5";"PNH4";0.00156;1.0;0.00156
92005;"PM2_5";"PNO3";0.00101;1.0;0.00101
92005;"PM2_5";"PSO4";0.00664;1.0;0.00664
92005;"PM2_5";"PNCOM";0.0173;1.0;0.0173
92005;"PM2_5";"PH2O";0.00197;1.0;0.00197
92005;"PM2_5";"PNA";0.0124;1.0;0.0124
92005;"PM2_5";"PMG";0.00212;1.0;0.00212
92005;"PM2_5";"PAL";0.0595;1.0;0.0595
92005;"PM2_5";"PSI";0.147;1.0;0.147
92005;"PM2_5";"PCL";3.57E-4;1.0;3.57E-4
92005;"PM2_5";"PK";0.00716;1.0;0.00716
92005;"PM2_5";"PCA";0.0602;1.0;0.0602
92005;"PM2_5";"PTI";0.00438;1.0;0.00438
92005;"PM2_5";"PMN";5.72E-4;1.0;5.72E-4
92005;"PM2_5";"PFE";0.0328;1.0;0.0328
92005;"PM2_5";"PMOTHR";0.544631;1.0;0.544631
92005;"PM2_5";"PMFINE";0.89195;1.0;0.89195
92006;"PM2_5";"POC";0.603;1.0;0.603
92006;"PM2_5";"PEC";1.3E-4;1.0;1.3E-4
92006;"PM2_5";"PNH4";0.0034;1.0;0.0034
92006;"PM2_5";"PNO3";1.2E-4;1.0;1.2E-4
92006;"PM2_5";"PSO4";9.1E-4;1.0;9.1E-4
92006;"PM2_5";"PNCOM";0.241;1.0;0.241
92006;"PM2_5";"PH2O";0.00103;1.0;0.00103
92006;"PM2_5";"PNA";1.1E-4;1.0;1.1E-4
92006;"PM2_5";"PAL";1.8E-4;1.0;1.8E-4
92006;"PM2_5";"PSI";1.7E-4;1.0;1.7E-4
92006;"PM2_5";"PCL";0.0070;1.0;0.0070
92006;"PM2_5";"PK";1.0E-5;1.0;1.0E-5
92006;"PM2_5";"PFE";1.0E-5;1.0;1.0E-5
92006;"PM2_5";"PMOTHR";0.14293;1.0;0.14293
92006;"PM2_5";"PMFINE";0.39584;1.0;0.39584
92007;"PM2_5";"POC";0.077;1.0;0.077
92007;"PM2_5";"PEC";0.0060;1.0;0.0060
92007;"PM2_5";"PNO3";0.0015;1.0;0.0015
92007;"PM2_5";"PSO4";0.0029;1.0;0.0029
92007;"PM2_5";"PNCOM";0.0308;1.0;0.0308
92007;"PM2_5";"PH2O";6.96E-4;1.0;6.96E-4
92007;"PM2_5";"PNA";0.0018;1.0;0.0018
92007;"PM2_5";"PMG";0.0010;1.0;0.0010
92007;"PM2_5";"PAL";0.0047;1.0;0.0047
92007;"PM2_5";"PSI";0.0087;1.0;0.0087
92007;"PM2_5";"PCL";0.0068;1.0;0.0068
92007;"PM2_5";"PK";0.0027;1.0;0.0027
92007;"PM2_5";"PCA";0.0048;1.0;0.0048
