SCC,num,specise,PSO4,PNO3,PEC,POC,PMFINE
2230001110,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230001130,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230001150,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230001170,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230001190,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230001210,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230001230,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230001250,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230001270,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230001290,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230001310,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230001330,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060110,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060130,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060150,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060170,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060190,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060210,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060230,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060250,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060270,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060290,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060310,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230060330,92042,EXH__PM2_5,0.0086,0.0031,0.6146,0.3073,0.0664
2230071110,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
2230071130,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
2230071150,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
2230071170,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
2230071190,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
2230071210,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
2230071230,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
2230071250,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
2230071270,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
2230071290,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
2230071310,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
2230071330,92035,EXH__PM2_5,0.0029,0.0011,0.7712,0.1756,0.0491
